CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
48443933,07/18/2008,20:30:00,07/19/2008,07:00:00,73.0,07/19/2008,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1009648.0,178640.0,(null),(null),(null),,40.656968,-73.90846,"(40.656968, -73.90846)",PATROL BORO BKLYN NORTH,(null),45-64,BLACK,F
55162583,12/20/2008,19:00:00,12/22/2008,10:00:00,23.0,12/23/2008,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,TELECOMM. STORE,N.Y. POLICE DEPT,0,(null),(null),(null),1000642.0,228145.0,(null),(null),(null),,40.792867,-73.940799,"(40.792867, -73.940799)",PATROL BORO MAN NORTH,(null),(null),UNKNOWN,D
37595206,01/09/2008,16:25:00,01/09/2008,16:45:00,32.0,01/09/2008,105,ROBBERY,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1001137.0,236815.0,(null),BLACK,(null),,40.81666199,-73.93899107,"(40.81666199, -73.93899107)",PATROL BORO MAN NORTH,(null),<18,BLACK,F
53824136,11/05/2008,18:25:00,11/05/2008,18:25:00,42.0,11/05/2008,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),865,1009388.0,242814.0,45-64,BLACK,M,,40.83311,-73.909156,"(40.83311, -73.909156)",PATROL BORO BRONX,(null),45-64,BLACK,F
47922138,07/01/2008,14:00:00,07/01/2008,14:01:00,23.0,07/01/2008,109,GRAND LARCENY,419.0,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),998414.0,229542.0,<18,BLACK,M,,40.7967044,-73.948844,"(40.7967044, -73.948844)",PATROL BORO MAN NORTH,(null),18-24,WHITE HISPANIC,F
51728041,09/24/2008,14:00:00,09/27/2008,09:00:00,44.0,09/27/2008,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BRONX,REAR OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1009320.0,244793.0,(null),(null),(null),,40.838543,-73.909396,"(40.838543, -73.909396)",PATROL BORO BRONX,(null),(null),UNKNOWN,D
44350226,03/07/2008,13:05:00,,(null),32.0,03/07/2008,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1001310.0,238986.0,(null),(null),(null),,40.822621,-73.938357,"(40.822621, -73.938357)",PATROL BORO MAN NORTH,(null),(null),UNKNOWN,E
53989325,11/10/2008,11:40:00,,(null),104.0,11/12/2008,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,INSIDE,PUBLIC SCHOOL,N.Y. POLICE DEPT,0,(null),(null),(null),1009588.0,198409.0,(null),UNKNOWN,M,,40.711228,-73.908603,"(40.711228, -73.908603)",PATROL BORO QUEENS NORTH,(null),<18,WHITE,M
49961409,08/09/2008,13:58:00,,(null),104.0,08/09/2008,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1009493.0,196801.0,25-44,WHITE,M,,40.706816,-73.90895,"(40.706816, -73.90895)",PATROL BORO QUEENS NORTH,(null),45-64,WHITE,F
51318402,09/12/2008,18:50:00,09/12/2008,19:10:00,28.0,09/12/2008,352,CRIMINAL TRESPASS,205.0,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),638,998115.0,230303.0,(null),(null),(null),,40.798794,-73.94992,"(40.798794, -73.94992)",PATROL BORO MAN NORTH,(null),(null),UNKNOWN,E
46678959,04/28/2008,02:00:00,05/22/2008,23:55:00,44.0,05/23/2008,109,GRAND LARCENY,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),37802,1008392.0,241796.0,(null),(null),(null),,40.830318,-73.912759,"(40.830318, -73.912759)",PATROL BORO BRONX,(null),18-24,BLACK,M
44980531,04/01/2008,12:30:00,04/01/2008,13:30:00,70.0,04/01/2008,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),993690.0,172242.0,(null),(null),(null),,40.639436,-73.965983,"(40.639436, -73.965983)",PATROL BORO BKLYN SOUTH,(null),45-64,WHITE HISPANIC,F
52220084,10/14/2008,09:00:00,10/14/2008,14:00:00,88.0,10/14/2008,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),993326.0,188994.0,(null),(null),(null),,40.685419,-73.967274,"(40.685419, -73.967274)",PATROL BORO BKLYN NORTH,(null),45-64,WHITE,M
52639979,10/30/2008,19:52:00,,(null),32.0,10/30/2008,106,FELONY ASSAULT,106.0,ASSAULT POLICE/PEACE OFFICER,COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),741,998424.0,234705.0,(null),(null),(null),,40.810878,-73.948794,"(40.810878, -73.948794)",PATROL BORO MAN NORTH,(null),(null),UNKNOWN,E
48224868,07/09/2008,13:00:00,07/09/2008,13:10:00,32.0,07/09/2008,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,VARIETY STORE,N.Y. POLICE DEPT,0,(null),(null),(null),1001117.0,237710.0,(null),(null),(null),,40.819119,-73.939058,"(40.819119, -73.939058)",PATROL BORO MAN NORTH,(null),18-24,BLACK,F
52249957,10/14/2008,19:00:00,10/15/2008,01:21:00,77.0,10/15/2008,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1005440.0,184756.0,25-44,BLACK,M,,40.673764,-73.923607,"(40.673764, -73.923607)",PATROL BORO BKLYN NORTH,(null),25-44,BLACK,F
